"word","class"
"бессмыслица","negative"
"бессовестность","negative"
"бессовестный","negative"
"бессодержательность","negative"
"бессодержательный","negative"
"бессознательность","negative"
"бессознательный","negative"
"бессолнечный","negative"
"бессонница","negative"
"бессонный","negative"
"бесстыдник","negative"
"бесстыдница","negative"
"бесстыдность","negative"
"бесстыдный","negative"
"бесстыдство","negative"
"бесстыжий","negative"
"бессудный","negative"
"бестактность","negative"
"бестактный","negative"
"бесталанность","negative"
"бесталанный","negative"
"бестия","negative"
"бестолковка","negative"
"бестолковость","negative"
"бестолковщина","negative"
"бестолковый","negative"
"бестолочь","negative"
"бесхарактерность","negative"
"бесхарактерный","negative"
"бесхозный","negative"
"бесхозяйственность","negative"
"бесхребетность","positive"
"бесхребетный","positive"
"бесцельность","negative"
"бесцельный","negative"
"бесценок","negative"
"бесцеремонность","negative"
"бесцеремонный","negative"
"бесчеловечие","negative"
"бесчеловечность","negative"
"бесчеловечный","negative"
"бесчестие","negative"
"бесчестить","negative"
"бесчестность","negative"
"бесчестный","negative"
"бесчестье","negative"
"бесчинство","negative"
"бесчинствовать","negative"
"бесчувственность","negative"
"бесчувственный","negative"
"бесчувствие","negative"
"бесшабашность","positive"
"бесшабашный","positive"
"бесёнок","negative"
"бешенство","negative"
"бешеный","negative"
"бзик","positive"
"биологичка","negative"
"битва","negative"
"битый","negative"
"бить","negative"
"биться","negative"
"битьё","negative"
"бич","negative"
"бичевание","negative"
"бичевать","negative"
"бла-бла-бла","negative"
"блаблабла","negative"
"блатняк","negative"
"блевота","negative"
"блевотина","negative"
"бледненький","negative"
"бледнеть","negative"
"бледноватый","negative"
"бледнолицый","negative"
"бледность","negative"
"бледный","negative"
"блеклость","negative"
"блеф","negative"
"блефовать","negative"
"близорукий","negative"
"близорукость","negative"
"блокада","negative"
"блокадный","negative"
"блокирование","negative"
"блокировать","negative"
"блокироваться","negative"
"блокировка","negative"
"блоха","negative"
"блошиный","negative"
"блошка","negative"
"блуд","negative"
"блудить","negative"
"блудливый","negative"
"блудник","negative"
"блудница","negative"
"блудный","negative"
"блудодейство","negative"
"блуждать","negative"
"блэкаут","negative"
"блёклый","negative"
"блёкнуть","negative"
"богадельня","negative"
"богоборец","negative"
"богобоязненность","positive"
"богомерзкий","negative"
"богопротивный","negative"
"богохульник","negative"
"богохульничать","negative"
"богохульный","negative"
"богохульство","negative"
"богохульствовать","negative"
"бодание","negative"
"бодать","negative"
"бодаться","negative"
"боднуть","negative"
"бодяга","negative"
"боевик","positive"
"боеголовка","negative"
"бой","negative"
"бойкот","negative"
"бойкотировать","negative"
"бойня","negative"
"болван","negative"
"болевой","negative"
"болезненность","negative"
"болезненный","negative"
"болезнетворный","negative"
"болезнь","negative"
"болеть","positive"
"болото","negative"
"болтаться","negative"
"болтливость","negative"
"болтливый","negative"
"болтнуть","negative"
"болтовня","negative"
"болтун","negative"
"болтунья","negative"
"болтушка","negative"
"боль","negative"
"больная","negative"
"болячка","negative"
"бомба","negative"
"бомбардировать","negative"
"бомбардировка","negative"
