;word;type;emotT;emotPT;X;
139;Алчность; устар. ;ЖЕЛАНИЕ; 14.7. Эмоциональное качество.;pos;
144;Альковный; устар. ;ЛЮБОВЬ; 18.6. Эмоциональная характеризация.;pos;
145;Альтруизм; книжн. ;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
146;Альтруист ;0;ДОБРОТА; 11.8. Человек как средоточие и носитель эмоций.;pos;
147;Альтруистический ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
148;Альтруистический ;0;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
149;Альтруистичность ;0;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
150;Альтруистичный ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
151;Альтруистичный ;0;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
152;Альтруистский ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
153;Альтруистский ;0;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
159;Амуриться; разг.-сниж. ;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
160;Амурничать; шутл. ;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
161;Амурный; разг., шутл. ;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
162;Амурный; разг., шутл. ;ЛЮБОВЬ; 18.6. Эмоциональная характеризация.;pos;
163;Амуры; устар., шутл. ;ЛЮБОВЬ; 18.2. Эмоциональное отношение.;pos;
164;Анахорет; книжн. ;ОДИНОЧЕСТВО; 27.8. Человек как средоточие и носитель эмоций.;neg;
165;Ангелоподобный ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
167;Ангельский; разг. ;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
168;Антагонистический ;0;ВРАЖДА; 7.2. Эмоциональное отношение.;neg;
169;Антагонистичный ;0;ВРАЖДА; 7.2. Эмоциональное отношение.;neg;
170;Антигуманистический ;0;ЖЕСТОКОСТЬ; 15.2. Эмоциональное отношение.;neg;
171;Антигуманно ;0;ЖЕСТОКОСТЬ; 15.5. Внешнее выражение эмоций.;neg;
172;Антигуманность ;0;ЖЕСТОКОСТЬ; 15.7. Эмоциональное качество.;neg;
173;Антигуманный ;0;ЖЕСТОКОСТЬ; 15.2. Эмоциональное отношение.;neg;
174;Антигуманный ;0;ЖЕСТОКОСТЬ; 15.6. Эмоциональная характеризация.;neg;
175;Антипатический ;0;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
176;Антипатичный ;0;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
177;Антипатия ;0;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
178;Антисемит ;0;НЕПРИЯЗНЬ; 25.8. Человек как средоточие и носитель эмоций.;neg;
179;Антисемитский ;0;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
180;Антисемйтский ;0;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
181;Апатично ;0;РАВНОДУШИЕ; 29.5. Внешнее выражение эмоций.;neg;
182;Апатический ;0;РАВНОДУШИЕ; 29.1. Эмоциональное состояние.;neg;
183;Апатический ;0;РАВНОДУШИЕ; 29.6. Эмоциональная характеризация.;neg;
184;Апатичность ;0;РАВНОДУШИЕ; 29.7. Эмоциональное качество.;neg;
185;Апатичный ;0;ГРУСТЬ; 10.6. Эмоциональная характеризация.;neg;
186;Апатйчный ;0;РАВНОДУШИЕ; 29.5. Внешнее выражение эмоций.;neg;
187;Апатичный ;0;РАВНОДУШИЕ; 29.6. Эмоциональная характеризация.;neg;
188;Апатия ;0;РАВНОДУШИЕ; 29.1. Эмоциональное состояние.;neg;
189;Апатия ;0;РАВНОДУШИЕ; 29.7. Эмоциональное качество.;neg;
190;Аплодировать ;0;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
191;Аплодисменты ;0;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
192;Апломб ;0;ВЫСОКОМЕРИЕ; 8.7. Эмоциональное качество.;neg;
193;Аполитизм ;0;РАВНОДУШИЕ; 29.1. Эмоциональное состояние.;neg;
194;Аполитичность ;0;РАВНОДУШИЕ; 29.7. Эмоциональное качество.;neg;
195;Аполитичный ;0;РАВНОДУШИЕ; 29.6. Эмоциональная характеризация.;neg;
196;Апологетика; книжн. ;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
197;Апология; книжн. ;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
204;Апробация ;0;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
205;Арапистый; разг. ;БЕССТЫДСТВО; 3.6. Эмоциональная характеризация.;neg;
207;Артельный; разг.-сниж. ;ДРУЖБА; 12.2. Эмоциональное отношение.;pos;
208;Артельный; разг.-сниж. ;ДРУЖБА; 12.6. Эмоциональная характеризация.;pos;
211;Аскетический ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
212;Эстетичность ;0;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
213;Аскетичный ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
214;Аспид; устар. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
215;Аспид; устар. ;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
216;Аспид; устар., разг.-сниж. ;ЗЛОСТЬ; 16.8. Человек как средоточие и носитель эмоций.;neg;
217;Аспидский; устар., разг.-сниж. ;ЗЛОСТЬ; 16.6. Эмоциональная характеризация.;neg;
218;Афронт; книжн. ;ОБИДА; 26.1. Эмоциональное состояние.;neg;
219;Аффект ;0;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
220;Аффективный ;0;ЧУВСТВО; 39.6. Эмоциональная характеризация.;pos;
221;Ахнуть; сов., разг. ;СТРАХ; 34.5. Внешнее выражение эмоций.;neg;
222;Аховый; разг. ;УДИВЛЕНИЕ; 38.6. Эмоциональная характеризация.;pos;
223;Аховый; разг.-сниж. ;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
224;Баба; разг.-сниж. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
225;Бабник; разг.-сниж. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
226;Базарить; разг.-сниж. ;ВРАЖДА; 7.5. Внешнее выражение эмоций.;neg;
227;Базариться; разг.-сниж. ;ВРАЖДА; 7.5. Внешнее выражение эмоций.;neg;
228;Баламут; разг. ;БЕСПОКОЙСТВО; 1.8. Человек как средоточие и носитель эмоций.;neg;
229;Балдеж; разг.-сниж. ;СЧАСТЬЕ; 36.1. Эмоциональное состояние.;pos;
230;Балдеть; разг.-сниж. ;СЧАСТЬЕ; 36.1. Эмоциональное состояние.;pos;
231;Балованный; разг. ;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
232;Баловать; сов., разг. ;ДОБРОТА; 11.2. Эмоциональное отношение.;pos;
233;Баловать; сов., разг. ;ДОБРОТА; 11.4. Эмоциональное воздействие.;pos;
234;Баловень ;0;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
